constraint,code
POP,B01001001
HH,B09019002
AGE5U,B01001003
AGE5U,B01001027
AGE18U,B01001003
AGE18U,B01001004
AGE18U,B01001005
AGE18U,B01001006
AGE18U,B01001027
AGE18U,B01001028
AGE18U,B01001029
AGE18U,B01001030
AGE65O,B01001020
AGE65O,B01001021
AGE65O,B01001022
AGE65O,B01001023
AGE65O,B01001024
AGE65O,B01001025
AGE65O,B01001044
AGE65O,B01001045
AGE65O,B01001046
AGE65O,B01001047
AGE65O,B01001048
AGE65O,B01001049
NFAM,B09019024
NFAMALONE,B09019027
LEP,B16008007
LEP,B16008010
LEP,B16008015
LEP,B16008018
LEP,B16008025
LEP,B16008028
LEP,B16008033
LEP,B16008036
LEP,B16008042
LEP,B16008045
LEP,B16008050
LEP,B16008053
LEP,B16008008
LEP,B16008016
LEP,B16008026
LEP,B16008034
LEP,B16008043
LEP,B16008051
POV,B17021002
RACWHITE,B03002003
RACBLACK,B03002004
RACASIAN,B03002006
RACHSPLAT,B03002012
POV.FAM,B17021003
POV.NFAM,B17021014
POV.NFAMALONE,B17021016
POV.AGE18U,B17001004
POV.AGE18U,B17001005
POV.AGE18U,B17001006
POV.AGE18U,B17001007
POV.AGE18U,B17001008
POV.AGE18U,B17001009
POV.AGE18U,B17001018
POV.AGE18U,B17001019
POV.AGE18U,B17001020
POV.AGE18U,B17001021
POV.AGE18U,B17001022
POV.AGE18U,B17001023